id,product_name,slug,category,store,price,discount_price,effective_price,stock,is_featured,tag
113,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,acer-sb220q-bi-215-inches-full-hd-1920-x-1080-ips-ultra-thin,Accessories,Bharatpur General Store,77870.00,70083.00,70083.00,42,False,HOT DEAL
500,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,acer-sb220q-bi-215-inches-full-hd-1920-x-1080-ips-ultra-thin-3,Accessories,Bharatpur General Store,77870.00,70083.00,70083.00,42,False,BEST DEAL
181,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin - Bharatpur General Store,acer-sb220q-bi-215-inches-full-hd-1920-x-1080-ips-ultra-thin-2,Accessories,Bharatpur General Store,77870.00,70083.00,70083.00,42,False,BEST DEAL
37,Anker 735 Charger (GaNPrime 65W),anker-735-charger-ganprime-65w,Accessories,New Road Tech Suppliers,8999.00,,8999.00,50,False,Charger
269,Arduino Uno Kit 2,arduino-uno-kit-2,Accessories,New Road Tech Suppliers,3002.00,2791.00,2791.00,38,False,Maker
84,Arduino Uno Learning Kit,arduino-uno-learning-kit,Accessories,New Road Tech Suppliers,8999.00,7999.00,7999.00,20,False,Maker
275,Cable Organizer 2,cable-organizer-2,Accessories,New Road Tech Suppliers,3500.00,3080.00,3080.00,68,False,Maker
40,CalDigit TS4 Thunderbolt 4 Dock,caldigit-ts4-thunderbolt-4-dock,Accessories,New Road Tech Suppliers,62000.00,,62000.00,50,False,Dock
542,Classic Black Baseball Cap,classic-black-baseball-cap-2,Accessories,Pokhara Modern Mall,7540.00,,7540.00,38,False,STYLE PICK
535,Classic Black Hooded Sweatshirt,classic-black-hooded-sweatshirt-3,Accessories,Pokhara Modern Mall,10270.00,,10270.00,24,False,STYLE PICK
547,Classic Black T-Shirt,classic-black-t-shirt-3,Accessories,Pokhara Modern Mall,4550.00,,4550.00,48,False,STYLE PICK
540,Classic Blue Baseball Cap,classic-blue-baseball-cap-2,Accessories,Pokhara Modern Mall,11180.00,10062.00,10062.00,34,False,STYLE DEAL
227,Classic Blue Suede Casual Shoes,classic-blue-suede-casual-shoes,Accessories,Pokhara Modern Mall,5070.00,,5070.00,46,False,STYLE PICK
537,Classic Comfort Drawstring Joggers,classic-comfort-drawstring-joggers-3,Accessories,Pokhara Modern Mall,10270.00,,10270.00,28,False,STYLE PICK
536,Classic Comfort Fit Joggers,classic-comfort-fit-joggers-3,Accessories,Pokhara Modern Mall,3250.00,2925.00,2925.00,26,False,STYLE DEAL
